Source,Fake News Watch,The Daily Dot,U.S. News and World Report,New Republic,CBS News,about.com,NPR,Snopes Field Guide,Kate Starbird,Opensources,Craig Silverman,Politifact,n_consensus
abriluno.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
burrardstreetjournal.com,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,3
reut.rs,No,No,No,No,No,No,No,No,Yes,No,No,No,1
cnsnews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
dailyfeed.news,No,No,No,No,No,No,No,No,No,No,No,Yes,1
prisonplanet.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
libertyalliance.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
abcnews.com.co,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,5
kypo6.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
conservativeoutfitters.com,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,3
expose1933.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
newsbreakshere.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
politicalmayhem.news,No,No,No,No,No,No,No,No,No,No,No,Yes,1
viraldevil.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
fedsalert.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
hotglobalnews.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
wellaware1.com,No,No,No,No,No,No,No,No,Yes,No,No,No,1
toutelinfo.fr,No,No,No,No,No,No,No,No,No,No,Yes,No,1
govtslaves.info,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3
newsthump.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
channel66news.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
whitepower.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
freebeacon.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
megafreshnews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
demyx.com,No,No,No,Yes,No,No,No,No,No,No,No,No,1
thepeoplescube.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
breaking911.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
24wpn.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
countdowntozerotime.com,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,3
dcclothesline.com,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3
ideaspots.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
ammoland.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
nachrichten.de.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
therooster.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
wtoe5news.com,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2
thenet24h.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
newswire-24.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
veteranstoday.com,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3
wideawakeamerica.com,Yes,No,No,No,No,No,No,No,No,No,No,No,1
infowars.com,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,6
remedydaily.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
thebigriddle.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
truthfeed.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
healthyworldhouse.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usaphase.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
werk35.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
megynkelly.us,No,No,No,No,No,No,No,No,No,Yes,No,No,1
usconservativetoday.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
states-tv.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
dailymail.co.uk,No,No,No,No,No,No,No,No,Yes,No,No,No,1
civictribune.com,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,6
newsbreakers.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1
libertynews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
cnnews3.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
beehivebugle.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
dailyleak.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1
charismanews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
20minutenews.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
newjournal.us,No,No,No,No,No,No,No,No,No,No,Yes,No,1
aurora-news.us,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
globalassociatednews.com,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,3
welovenative.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
tmzworldnews.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
americanoverlook.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
conservativefiringline.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
the-global-news.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
progressivestoday.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
dailysquib.co.uk,No,No,No,No,No,No,No,No,No,Yes,No,No,1
fromthetrenchesworldreport.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
makeamericagreattoday.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
fox-news24.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
americanlookout.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
lightlybraisedturnip.com,No,No,No,Yes,No,No,No,No,No,No,No,No,1
katehon.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
dollarvigilante.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
defenseusa.club,No,No,No,No,No,No,No,No,No,No,No,Yes,1
whatreallyhappened.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
net-infosnews.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
thereporterz.com,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2
elmundotoday.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
addictinginfo.org,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,3
usatodaynews.me,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
politicalcult.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
ancient-code.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
nypost.com,No,No,No,No,No,No,No,No,Yes,No,No,No,1
clickhole.com,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,4
newsmagazine.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
dailythings.world,No,No,No,No,No,No,No,No,No,No,No,Yes,1
itccs.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1
superstation95.com,No,No,No,No,No,No,No,No,Yes,No,Yes,No,2
channel5000.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
abovetopsecret.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
dandygoat.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
fmobserver.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
thespoof.com,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,3
