,Source,Fake News Watch,The Daily Dot,U.S. News and World Report,New Republic,CBS News,about.com,NPR,Snopes Field Guide,Kate Starbird,Opensources,Craig Silverman,Politifact,n_consensus,domain,volume
199,coed.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
200,coffeebreakforyou.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
201,collective-evolution.com,No,Yes,No,No,No,No,No,No,No,Yes,No,No,2,,
202,collectivelyconscious.net,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
203,commondreams.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
204,concisepolitics.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
205,consciouslifenews.com,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,4,,
206,conservapedia.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
207,conservative101.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
208,conservative7.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
209,conservativearmy88.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
210,conservativebyte.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
211,conservativedailypost.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
212,conservativefighters.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
213,conservativefiringline.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
214,conservativeflashnews.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
215,conservativehq.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
216,conservativeinfidel.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
217,conservativeinfocorner.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
218,conservativeoutfitters.com,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,3,,
219,conservativepaper.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
220,conservativepapers.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
221,conservativepoliticus.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
222,conservativerefocus.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
223,conservativespirit.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
224,conservativestate.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
225,conservativetribune.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
226,conservativeview.info,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
227,conspiracyplanet.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
228,conspiracywire.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
229,corbettreport.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
230,countdowntozerotime.com,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,3,,
231,countercurrentnews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
232,counterjihad.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
233,counterpsyops.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,,
234,countyweekly.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
235,cowgernation.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
236,creambmp.com,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,3,,
237,creativitymovement.net/category/news/,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
238,cryptogon.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
239,crystalair.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
240,dailybuzzlive.com,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,4,,
241,dailycaller.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
242,dailycurrant.com,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,4,,
243,dailydiscord.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
244,dailyfeed.news,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
245,dailyfinesser.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
246,dailyheadlines.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
247,dailyheadlines.net,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
248,dailyinfobox.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
249,dailyken.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
250,dailykos.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
251,dailyleak.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
252,dailymail.co.uk,No,No,No,No,No,No,No,No,Yes,No,No,No,1,,
253,dailynews10.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
254,dailynews11.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
255,dailynews3.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
256,dailynews33.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
257,dailynews5.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,,
258,dailynewsbin.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
259,dailynewsposts.info,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
260,dailyoccupation.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
261,dailypoliticsusa.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
262,dailysidnews.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
263,dailysignal.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
264,dailysnark.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
265,dailysquib.co.uk,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
266,dailystormer.com,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,3,,
267,dailysurge.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
268,dailytelegraph.com.au,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
269,dailythings.world,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
270,dailyusaupdate.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
271,dailywire.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
272,dailyworldupdate.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
273,dallastimes.us,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
274,damnleaks.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
275,dandygoat.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
276,dangerandplay.com,No,No,No,No,No,No,No,No,Yes,No,No,No,1,,
277,darkmoon.me,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
278,darkpolitricks.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
279,dataasylum.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
280,davidduke.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
281,davidwolfe.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
