Source,Fake News Watch,The Daily Dot,U.S. News and World Report,New Republic,CBS News,about.com,NPR,Snopes Field Guide,Kate Starbird,Opensources,Craig Silverman,Politifact,n_consensus
other98.com,No,Yes,No,No,No,No,No,No,No,Yes,No,No,2
pakalertpress.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
paulcraigroberts.org,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
persecutes.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2
politicalblindspot.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
politicalears.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
politicalo.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
politicono.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
politicops.com,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,5
politicot.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
politicsusanews.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
president45donaldtrump.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
presstv.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
prisonplanet.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
prntly.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
rawstory.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
react365.com,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,5
readconservatives.news,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
realfarmacy.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
realnewsrightnow.com,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,6
redcountry.us,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
redflagnews.com,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,4
redinfo.us,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2
redrocktribune.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
redstate.com,No,Yes,No,No,No,No,No,No,No,Yes,No,No,2
religionlo.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
religionmind.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
revolutions2040.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
rilenews.com,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,5
rockcitytimes.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
rogue-nation3.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
rumorjournal.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
rumormillnews.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
satiratribune.com,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,4
secretsofthefed.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
smag31.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
socialeverythings.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
sputniknews.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
stuppid.com,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,3
success-street.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
superstation95.com,No,No,No,No,No,No,No,No,Yes,No,Yes,No,2
supremepatriot.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
tdtalliance.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
teaparty.org,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
thatviralfeed.net,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
the-insider.co,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
theantimedia.org,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
thebigriddle.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
thebostontribune.com,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,3
thecommonsenseshow.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
thedailysheeple.com,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3
thedcgazette.com,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4
theeventchronicle.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
thefreethoughtproject.com,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,3
thegatewaypundit.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
theinternetpost.net,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
thelapine.ca,Yes,No,No,No,No,Yes,No,No,No,No,No,No,2
thelastlineofdefense.org,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
themoralofthestory.us,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
thenet24h.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
thenewsnerd.com,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,4
thenewyorkevening.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
theonion.com,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,7
thepoliticalinsider.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
theracketreport.com,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,4
therealstrategy.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
thereporterz.com,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2
therightists.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
theseattletribune.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
thespoof.com,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,3
thetrumpmedia.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
thetruthseeker.co.uk,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
theusa-news.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
theuspatriot.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
thevalleyreport.com,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2
thewashingtonpress.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
times.com.mx,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
tmzworldnews.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
trueamericans.me,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
truetrumpers.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
truthfrequencyradio.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
twitchy.com,No,Yes,No,No,No,No,No,No,No,Yes,No,No,2
unconfirmedsources.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
undergroundnewsreport.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
unitedmediapublishing.com,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2
universepolitics.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usa-radio.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usa-television.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usadailyinfo.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usadailytime.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
usadosenews.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usafirstinformation.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usanewsflash.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usanewstoday.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usapolitics24hrs.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usapoliticsnow.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usapoliticstoday.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usapoliticszone.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usasnich.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usasupreme.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usatodaynews.me,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
ushealthyadvisor.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
ushealthylife.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usherald.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usinfonews.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
uspoln.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
uspostman.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
usuncut.com,No,Yes,No,No,No,No,No,No,No,Yes,No,No,2
veteranstoday.com,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3
viralactions.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
voxtribune.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
wakingtimes.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
wakingupwisconsin.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
washingtonevening.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2
washingtonpost.com.co,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
weconservative.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2
weeklyworldnews.com,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,4
whatdoesitmean.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
whatreallyhappened.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
whydontyoutrythis.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
witscience.org,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,3
worldnewsdailyreport.com,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,7
worldtruth.tv,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,5
wtoe5news.com,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2
yournewswire.com,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,5
zerohedge.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
