Source,Fake News Watch,The Daily Dot,U.S. News and World Report,New Republic,CBS News,about.com,NPR,Snopes Field Guide,Kate Starbird,Opensources,Craig Silverman,Politifact,n_consensus,2018-01-20 04:42:30,2018-02-20 16:55:53,2018-02-27 16:56:00
usuncut.com,No,Yes,No,No,No,No,No,No,No,Yes,No,No,2,5.0,1.0,4.0
veteranstoday.com,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,3,100.0,100.0,100.0
viralactions.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3,0.0,4.0,43.0
voxtribune.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
wakingtimes.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,100.0,100.0,100.0
wakingupwisconsin.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2,0.0,0.0,0.0
washingtonevening.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,100.0,45.0,1.0
washingtonpost.com.co,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,0.0,0.0,0.0
weconservative.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,0.0,0.0,0.0
weeklyworldnews.com,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,4,29.0,22.0,17.0
whatdoesitmean.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,88.0,100.0,100.0
whatreallyhappened.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,100.0,100.0,63.0
whydontyoutrythis.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,37.0,22.0,38.0
witscience.org,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,3,0.0,11.0,1.0
worldnewsdailyreport.com,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,7,100.0,100.0,100.0
worldtruth.tv,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,5,100.0,100.0,100.0
wtoe5news.com,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2,0.0,0.0,0.0
yournewswire.com,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,5,100.0,100.0,100.0
zerohedge.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,100.0,100.0,100.0
